1,2,7,6
2,3,8,7
3,4,9,8
4,5,10,9
6,7,12,11
7,8,13,12
8,9,14,13
9,10,15,14
11,12,17,16
12,13,18,17
13,14,19,18
14,15,20,19
16,17,22,21
17,18,23,22
18,19,24,23
19,20,25,24
21,22,27,26
22,23,28,27
23,24,29,28
24,25,30,29
26,27,32,31
27,28,33,32
28,29,34,33
29,30,35,34
31,32,37,36
32,33,38,37
33,34,39,38
34,35,40,39
36,37,42,41
37,38,43,42
38,39,44,43
39,40,45,44
41,42,47,46
42,43,48,47
43,44,49,48
44,45,50,49
46,47,52,51
47,48,53,52
48,49,54,53
49,50,55,54
51,52,57,56
52,53,58,57
53,54,59,58
54,55,60,59
56,57,62,61
57,58,63,62
58,59,64,63
59,60,65,64
61,62,67,66
62,63,68,67
63,64,69,68
64,65,70,69
66,67,72,71
67,68,73,72
68,69,74,73
69,70,75,74
71,72,77,76
72,73,78,77
73,74,79,78
74,75,80,79
76,77,82,81
77,78,83,82
78,79,84,83
79,80,85,84
81,82,87,86
82,83,88,87
83,84,89,88
84,85,90,89
86,87,92,91
87,88,93,92
88,89,94,93
89,90,95,94
91,92,97,96
92,93,98,97
93,94,99,98
94,95,100,99
96,97,102,101
97,98,103,102
98,99,104,103
99,100,105,104
