x,y
0.,0.
0.100000001,0.
0.200000003,0.
0.300000012,0.
0.400000006,0.
0.5,0.
0.600000024,0.
0.699999988,0.
0.800000012,0.
0.899999976,0.
1.,0.
1.10000002,0.
1.20000005,0.
1.29999995,0.
1.39999998,0.
1.5,0.
1.60000002,0.
1.70000005,0.
1.79999995,0.
1.89999998,0.
2.,0.
0.,0.100000001
0.100000001,0.100000001
0.200000003,0.100000001
0.300000012,0.100000001
0.400000006,0.100000001
0.5,0.100000001
0.600000024,0.100000001
0.699999988,0.100000001
0.800000012,0.100000001
0.899999976,0.100000001
1.,0.100000001
1.10000002,0.100000001
1.20000005,0.100000001
1.29999995,0.100000001
1.39999998,0.100000001
1.5,0.100000001
1.60000002,0.100000001
1.70000005,0.100000001
1.79999995,0.100000001
1.89999998,0.100000001
2.,0.100000001
0.,0.200000003
0.100000001,0.200000003
0.200000003,0.200000003
0.300000012,0.200000003
0.400000006,0.200000003
0.5,0.200000003
0.600000024,0.200000003
0.699999988,0.200000003
0.800000012,0.200000003
0.899999976,0.200000003
1.,0.200000003
1.10000002,0.200000003
1.20000005,0.200000003
1.29999995,0.200000003
1.39999998,0.200000003
1.5,0.200000003
1.60000002,0.200000003
1.70000005,0.200000003
1.79999995,0.200000003
1.89999998,0.200000003
2.,0.200000003
0.,0.300000012
0.100000001,0.300000012
0.200000003,0.300000012
0.300000012,0.300000012
0.400000006,0.300000012
0.5,0.300000012
0.600000024,0.300000012
0.699999988,0.300000012
0.800000012,0.300000012
0.899999976,0.300000012
1.,0.300000012
1.10000002,0.300000012
1.20000005,0.300000012
1.29999995,0.300000012
1.39999998,0.300000012
1.5,0.300000012
1.60000002,0.300000012
1.70000005,0.300000012
1.79999995,0.300000012
1.89999998,0.300000012
2.,0.300000012
0.,0.400000006
0.100000001,0.400000006
0.200000003,0.400000006
0.300000012,0.400000006
0.400000006,0.400000006
0.5,0.400000006
0.600000024,0.400000006
0.699999988,0.400000006
0.800000012,0.400000006
0.899999976,0.400000006
1.,0.400000006
1.10000002,0.400000006
1.20000005,0.400000006
1.29999995,0.400000006
1.39999998,0.400000006
1.5,0.400000006
1.60000002,0.400000006
1.70000005,0.400000006
1.79999995,0.400000006
1.89999998,0.400000006
2.,0.400000006
0.,0.5
0.100000001,0.5
0.200000003,0.5
0.300000012,0.5
0.400000006,0.5
0.5,0.5
0.600000024,0.5
0.699999988,0.5
0.800000012,0.5
0.899999976,0.5
1.,0.5
1.10000002,0.5
1.20000005,0.5
1.29999995,0.5
1.39999998,0.5
1.5,0.5
1.60000002,0.5
1.70000005,0.5
1.79999995,0.5
1.89999998,0.5
2.,0.5
0.,0.600000024
0.100000001,0.600000024
0.200000003,0.600000024
0.300000012,0.600000024
0.400000006,0.600000024
0.5,0.600000024
0.600000024,0.600000024
0.699999988,0.600000024
0.800000012,0.600000024
