x,y
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
0.0,0.5
0.5,0.5
1.0,0.5
1.5,0.5
2.0,0.5
0.0,1.0
0.5,1.0
1.0,1.0
1.5,1.0
2.0,1.0
0.0,1.5
0.5,1.5
1.0,1.5
1.5,1.5
2.0,1.5
0.0,2.0
0.5,2.0
1.0,2.0
1.5,2.0
2.0,2.0
0.0,2.5
0.5,2.5
1.0,2.5
1.5,2.5
2.0,2.5
0.0,3.0
0.5,3.0
1.0,3.0
1.5,3.0
2.0,3.0
0.0,3.5
0.5,3.5
1.0,3.5
1.5,3.5
2.0,3.5
0.0,4.0
0.5,4.0
1.0,4.0
1.5,4.0
2.0,4.0
0.0,4.5
0.5,4.5
1.0,4.5
1.5,4.5
2.0,4.5
0.0,5.0
0.5,5.0
1.0,5.0
1.5,5.0
2.0,5.0
0.0,5.5
0.5,5.5
1.0,5.5
1.5,5.5
2.0,5.5
0.0,6.0
0.5,6.0
1.0,6.0
1.5,6.0
2.0,6.0
0.0,6.5
0.5,6.5
1.0,6.5
1.5,6.5
2.0,6.5
0.0,7.0
0.5,7.0
1.0,7.0
1.5,7.0
2.0,7.0
0.0,7.5
0.5,7.5
1.0,7.5
1.5,7.5
2.0,7.5
0.0,8.0
0.5,8.0
1.0,8.0
1.5,8.0
2.0,8.0
0.0,8.5
0.5,8.5
1.0,8.5
1.5,8.5
2.0,8.5
0.0,9.0
0.5,9.0
1.0,9.0
1.5,9.0
2.0,9.0
0.0,9.5
0.5,9.5
1.0,9.5
1.5,9.5
2.0,9.5
0.0,10.0
0.5,10.0
1.0,10.0
1.5,10.0
2.0,10.0
0.25,0.0
0.5,0.25
0.25,0.5
0.0,0.25
0.75,0.0
1.0,0.25
0.75,0.5
1.25,0.0
1.5,0.25
1.25,0.5
1.75,0.0
2.0,0.25
1.75,0.5
0.5,0.75
0.25,1.0
0.0,0.75
1.0,0.75
0.75,1.0
1.5,0.75
1.25,1.0
2.0,0.75
1.75,1.0
0.5,1.25
0.25,1.5
0.0,1.25
1.0,1.25
0.75,1.5
1.5,1.25
1.25,1.5
2.0,1.25
1.75,1.5
0.5,1.75
0.25,2.0
0.0,1.75
1.0,1.75
0.75,2.0
1.5,1.75
1.25,2.0
2.0,1.75
1.75,2.0
0.5,2.25
0.25,2.5
0.0,2.25
1.0,2.25
0.75,2.5
1.5,2.25
1.25,2.5
2.0,2.25
1.75,2.5
0.5,2.75
0.25,3.0
0.0,2.75
1.0,2.75
0.75,3.0
1.5,2.75
1.25,3.0
2.0,2.75
1.75,3.0
0.5,3.25
0.25,3.5
0.0,3.25
1.0,3.25
0.75,3.5
1.5,3.25
1.25,3.5
2.0,3.25
1.75,3.5
0.5,3.75
0.25,4.0
0.0,3.75
1.0,3.75
0.75,4.0
1.5,3.75
1.25,4.0
2.0,3.75
1.75,4.0
0.5,4.25
0.25,4.5
0.0,4.25
1.0,4.25
0.75,4.5
1.5,4.25
1.25,4.5
2.0,4.25
1.75,4.5
0.5,4.75
0.25,5.0
0.0,4.75
1.0,4.75
0.75,5.0
1.5,4.75
1.25,5.0
2.0,4.75
1.75,5.0
0.5,5.25
0.25,5.5
0.0,5.25
1.0,5.25
0.75,5.5
1.5,5.25
1.25,5.5
2.0,5.25
1.75,5.5
0.5,5.75
0.25,6.0
0.0,5.75
1.0,5.75
0.75,6.0
1.5,5.75
1.25,6.0
2.0,5.75
1.75,6.0
0.5,6.25
0.25,6.5
0.0,6.25
1.0,6.25
0.75,6.5
1.5,6.25
1.25,6.5
2.0,6.25
1.75,6.5
0.5,6.75
0.25,7.0
0.0,6.75
1.0,6.75
0.75,7.0
1.5,6.75
1.25,7.0
2.0,6.75
1.75,7.0
0.5,7.25
0.25,7.5
0.0,7.25
1.0,7.25
0.75,7.5
1.5,7.25
1.25,7.5
2.0,7.25
1.75,7.5
0.5,7.75
0.25,8.0
0.0,7.75
1.0,7.75
0.75,8.0
1.5,7.75
1.25,8.0
2.0,7.75
1.75,8.0
0.5,8.25
0.25,8.5
0.0,8.25
1.0,8.25
0.75,8.5
1.5,8.25
1.25,8.5
2.0,8.25
1.75,8.5
0.5,8.75
0.25,9.0
0.0,8.75
1.0,8.75
0.75,9.0
1.5,8.75
1.25,9.0
2.0,8.75
1.75,9.0
0.5,9.25
0.25,9.5
0.0,9.25
1.0,9.25
0.75,9.5
1.5,9.25
1.25,9.5
2.0,9.25
1.75,9.5
0.5,9.75
0.25,10.0
0.0,9.75
1.0,9.75
0.75,10.0
1.5,9.75
1.25,10.0
2.0,9.75
1.75,10.0
