elements,p,E22,G12,E11,nu12,E11_tol,E22_tol,nu12_tol,G12_tol
1280,0.01,14999.999577698398,15831.1503477801,230997.5568787887,0.21077337301605564,0.0010576394158983353,2.815344093641283e-6,0.3669215921295424,0.1967661673080363
320,0.01,14999.999705168859,15943.21424793847,230997.51523033096,0.2107865568866225,0.0010756694359087243,1.965540980088914e-6,0.3731532495431343,0.8982771335271212
20,0.01,14999.827213182367,17650.053650668597,231092.1983692946,0.18081449311378245,0.03989679008863467,0.0011519253867220867,16.14113248535435,10.481858510376343
20,-0.01,14999.827213182403,17650.053650668586,231092.19836929426,0.18081449311378223,0.039896790088483604,0.0011519253864795491,16.141132485354493,10.481858510376288
5,0.01,15004.628355405383,17650.053650668597,231092.1983692946,0.18081449311378245,0.03989679008863467,0.03084618489544382,16.14113248535435,10.481858510376343
1280,-0.01,14999.999577698278,15831.150347780047,230997.55687878947,0.21077337301605628,0.0010576394155581534,2.8153448939966656e-6,0.36692159212984415,0.19676616730770377
80,0.01,14999.999125383423,16385.397115614054,231000.89497991677,0.20971669300963458,0.0003874356923390752,5.830777518420509e-6,0.13509033844644705,3.5726757885911393
5,-0.01,15004.628355405375,17650.053650668586,231092.19836929426,0.18081449311378223,0.039896790088483604,0.030846184895395343,16.141132485354493,10.481858510376288
80,-0.01,14999.99912538346,16385.397115614116,231000.8949799162,0.20971669300963316,0.00038743569208709596,5.83077727588856e-6,0.13509033844712295,3.572675788591503
320,-0.01,14999.999705168793,15943.214247938478,230997.5152303298,0.21078655688662248,0.0010756694364126974,1.965541416646388e-6,0.3731532495431212,0.8982771335271779
